code,name,offered
AGRI90080,Major Research Project Part 1,"['Semester 1', 'Semester 2']"
AGRI90081,Minor Research Project Part 2,"['Semester 1', 'Semester 2']"
AGRI90082,Major Research Project Part 2,"['Semester 1', 'Semester 2']"
AGRI90083,Internship for Agricultural Sciences Pt1,"['Semester 1', 'Semester 2']"
AGRI90084,Internship for Agricultural Sciences Pt2,"['Semester 1', 'Semester 2']"
AGRI90086,Communicating Agricultural Sciences,['Semester 1']
AGRI90089,Human Resource Management,['Semester 1']
AGRI90091,Advanced Plant Breeding and Improvement,['Semester 1']
AGRI90092,Agricultural Advisory Practice & Theory,['Semester 1']
AHIS10001,Art History: Theory and Controversy,['Semester 1']
AHIS20002,Australian Art,['Semester 1']
AHIS20011,European Renaissance Art,['Semester 1']
AHIS20016,Art and Revolution,['Semester 1']
AHIS20021,Arts of East Asia,['Semester 1']
AHIS30005,Contemporary Aboriginal Art,['Semester 1']
AHIS40002,"Indigenous Photography, New Media, Film",['Semester 1']
AHIS40006,Postcolonial Visual Art,['Semester 1']
AHIS40008,Twentieth-Century Italian Art: 1909-1969,['Semester 1']
AHIS40023,Art History Thesis Part 1,"['Semester 1', 'Semester 2']"
AHIS40024,Art History Thesis Part 2,"['Semester 1', 'Semester 2']"
AHIS90005,History and Philosophy of Museums,['Semester 1']
AIND10001,Communication and Performance 1,['Semester 1']
AIND10004,Art and Indigenous Voice,['Semester 1']
AIND20007,Key Thinkers and Concepts,['Semester 1']
AIND20008,Aboriginal Women and Coloniality,['Semester 1']
AIND20009,Racial Literacy: Indigeneity & Whiteness,['Semester 1']
AIND30010,Aboriginal Cultural Studies,['Semester 1']
AIND30011,Aboriginal Writing,['Semester 1']
AIND40005,Textual Revelations,['Semester 1']
AIND40007,Australian Indigenous Studies Thesis Pt1,"['Semester 1', 'Semester 2']"
AIND40008,Australian Indigenous Studies Thesis Pt2,"['Semester 1', 'Semester 2']"
AMGT90001,Principles of Arts Management,"['Semester 1', 'Semester 2']"
AMGT90002,Arts Law,['Semester 1']
AMGT90004,"States, Governments and the Arts","['Semester 1', 'Semester 2']"
AMGT90007,Advanced Arts Management,['Semester 1']
AMGT90013,Finance and Budgeting,"['Semester 1', 'Semester 2']"
AMGT90015,Cultural Management Project (Sem Long),"['Semester 1', 'Semester 2']"
AMGT90017,Communicating the Arts,['Semester 1']
AMGT90024,Cultural Festivals and Special Events,"['Semester 1', 'Semester 2']"
AMGT90025,Cultural Management Project Part 1,"['Semester 1', 'Semester 2']"
AMGT90026,Cultural Management Project Part 2,"['Semester 1', 'Semester 2']"
AMGT90027,Arts Management Thesis Part 1,"['Semester 1', 'Semester 2']"
AMGT90028,Arts Management Thesis Part 2,"['Semester 1', 'Semester 2']"
AMGT90030,Philanthropy and Development in the Arts,['Semester 1']
ANAT20006,Principles of Human Structure,"['Semester 1', 'Semester 2']"
ANAT30007,Human Locomotor Systems,['Semester 1']
ANAT40001,Anatomy & Neurosci Research Proj Part 1,['Semester 1']
ANAT40002,Seminars in Anatomy and Neuroscience,['Semester 1']
ANAT90004,Anatomy and Physiology for Audiology,['Semester 1']
ANAT90011,Anatomy and Physiology,['Semester 1']
ANAT90012,Project in Anatomy,"['Semester 1', 'Semester 2']"
ANAT90013,Project in Anatomy,"['Semester 1', 'Semester 2']"
ANAT90014,Project in Anatomy,"['Semester 1', 'Semester 2']"
ANAT90015,Project in Anatomy,"['Semester 1', 'Semester 2']"
ANCW10001,Ancient Egypt and Mesopotamia,['Semester 1']
ANCW10006,Ancient Egyptian 1,['Semester 1']
ANCW20015,Classical Mythology,"['Semester 1', 'Winter Term']"
ANCW20019,The Rise and Fall of the Roman Republic,['Semester 1']
ANCW20023,Ancient Egyptian 3,['Semester 1']
ANCW30011,Underworld and Afterlife,['Semester 1']
ANCW30016,The Age of Alexander the Great,['Semester 1']
ANCW40007,Problems in Greek Prehistory,['Semester 1']
ANCW40012,The Roman Way of Life,['Semester 1']
ANCW40014,Research in Ancient World Studies,['Semester 1']
ANCW40016,Ancient World Studies Thesis Part 1,"['Semester 1', 'Semester 2']"
ANCW40017,Ancient World Studies Thesis Part 2,"['Semester 1', 'Semester 2']"
ANSC20001,Animal Physiology and Growth,['Semester 1']
ANSC20005,Companion Animal Biology,['Semester 1']
ANSC30001,Animal Disease Biotechnology 1,['Semester 1']
ANSC30003,Applied Animal Behaviour,['Semester 1']
ANSC30004,Applied Animal Reproduction & Genetics,['Semester 1']
ANSC30006,Production Animal Health,['Semester 1']
ANSC40001,Animal Sci & Mgt Research Project Part 1,['Semester 1']
ANSC90001,Wildlife Management,['Semester 1']
ANTH10001,Anthropology: Studying Self and Other,['Semester 1']
ANTH20001,Keeping the Body in Mind,['Semester 1']
ANTH20012,"Self, Culture and Society",['Semester 1']
ANTH20013,"Diplomat, Soldier, Spy: The Deep State",['Semester 1']
ANTH20014,Fieldwork: Anthropology in Practice,['Semester 1']
ANTH30003,"Society, Politics, and the Sacred",['Semester 1']
ANTH30005,"Power, Ideology and Inequality",['Semester 1']
ANTH30009,Anthropology of More-Than-Human Worlds,['Semester 1']
ANTH30018,Cultures of Law,['Semester 1']
ANTH40001,Philosophy and Scope of Anthropology,['Semester 1']
ANTH40007,Anthropology & Social Theory Thesis,"['Semester 1', 'Semester 2']"
ANTH40009,Anthropology Thesis Part 1,"['Semester 1', 'Semester 2']"
ANTH40010,Anthropology Thesis Part 2,"['Semester 1', 'Semester 2']"
ANTH90004,Migration and Development,['Semester 1']
ARBC10001,Arabic 3,['Semester 1']
ARBC10003,Arabic 5,['Semester 1']
ARBC10005,Arabic 1,['Semester 1']
ARBC20001,Arabic in Context 1,['Semester 1']
ARBC20002,Arabic 7,['Semester 1']
ARBC20004,Arabic 3,['Semester 1']
ARBC20006,Arabic 5,['Semester 1']
ARBC30002,Arabic 9,['Semester 1']
ARBC30004,Arabic 5,['Semester 1']
ARBC30006,Arabic 7,['Semester 1']
ARBC40001,Honours Arabic A,['Semester 1']
ARBC40007,Arabic Studies Thesis Part 1,"['Semester 1', 'Semester 2']"
ARBC40008,Arabic Studies Thesis Part 2,"['Semester 1', 'Semester 2']"
ARBC90003,Graduate Arabic A,['Semester 1']
ARCH10001,Foundations of Design: Representation,"['Semester 1', 'Semester 2']"
ARCH10002,Construction as Alchemy,"['Semester 1', 'Semester 2']"
ARCH10003,Design Studio Alpha,"['Semester 1', 'Semester 2']"
ARCH20001,Design Studio Beta,['Semester 1']
ARCH20003,Modern Architecture: MoMo to PoMo,['Semester 1']
ARCH20004,Digital Design,['Semester 1']
ARCH30001,Design Studio Delta,"['Semester 1', 'Semester 2']"
ARTS30002,Introduction to Language Translation,['Semester 1']
ARTS90008,Researching the Past,['Semester 1']
ARTS90009,Researching Texts,['Semester 1']
ARTS90010,Researching Society and Culture,['Semester 1']
ARTS90011,Researching Images,['Semester 1']
ARTS90012,Researching Ideas,['Semester 1']
ARTS90013,Researching Media and Culture,['Semester 1']
ARTS90014,Researching Politics and Policy,['Semester 1']
ARTS90015,Researching Language,['Semester 1']
ASIA10001,Language and Power in Asian Societies,['Semester 1']
ASIA10002,Asian Century: Meaning and Impact,['Semester 1']
ASIA20001,Media and Urban Culture in Asia,['Semester 1']
ASIA20003,Genders and Desires in Asia,['Semester 1']
ASIA30003,Asian Religions in Societal Context,['Semester 1']
ASIA30004,Corruption in Asia,['Semester 1']
ASIA40004,Asian Studies Thesis Part 1,"['Semester 1', 'Semester 2']"
ASIA40005,Asian Studies Thesis Part 2,"['Semester 1', 'Semester 2']"
ASIA90004,Critical Asian Perspectives,['Semester 1']
ASIA90012,International Relations Thesis Part 1,"['Semester 1', 'Semester 2']"
ASIA90013,International Relations Thesis Part 2,"['Semester 1', 'Semester 2']"
ATOC20001,Weather and Climate Systems,['Semester 1']
ATOC30004,Dynamical Meteorology and Oceanography,['Semester 1']
ATOC30008,Atmospheric Processes and Composition,['Semester 1']
ATOC90002,Climate Science for Decision-Making,['Semester 1']
ATOC90004,Current Topics in Atmospheric Research,['Semester 1']
AUDI90001,Electrophysiological Assessment B,['Semester 1']
AUDI90002,Research for Hearing and Speech Sciences,['Semester 1']
AUDI90015,Acoustics,['Semester 1']
AUDI90016,Pathologies of the Auditory System,['Semester 1']
AUDI90017,Perception Of Sound & Speech,['Semester 1']
AUDI90025,Communication Across the Lifespan,['Semester 1']
AUDI90027,Clinical Processes A,['Semester 1']
AUDI90034,Planning and Integrating Intervention,['Semester 1']
AUDI90035,Speech and Language Disorders - Advanced,['Semester 1']
AUDI90036,Disorders of Fluency,['Semester 1']
BCMB20002,Biochemistry and Molecular Biology,"['Semester 1', 'Semester 2']"
BCMB20005,Techniques in Molecular Science,"['Semester 1', 'Semester 2']"
BCMB30002,Functional Genomics and Bioinformatics,['Semester 1']
BCMB30003,Molecular Aspects of Cell Biology,['Semester 1']
BCMB30010,Advanced Techniques in Molecular Science,"['Semester 1', 'Semester 2']"
BCMB30011,Metabolism and Nutrition,['Semester 1']
BCMB40002,Advanced Studies in Biochemistry,['Semester 1']
BCMB40009,Biochemistry Research Project Part 1,['Semester 1']
BCMB40012,Biochemistry Research Project Part 2,['Semester 1']
BIEN90001,Biochemical Engineering Research Project,"['Summer Term', 'Semester 1', 'July']"
BIEN90003,Biochemical Engineering Minor Thesis,"['Summer Term', 'Semester 1', 'Semester 2']"
BINF90001,Statistics for Bioinformatics,['Semester 1']
BINF90002,Elements of Bioinformatics,['Semester 1']
BIOL10002,Biomolecules and Cells,['Semester 1']
BIOL10004,Biology of Cells and Organisms,['Semester 1']
BIOL10006,Systems Biology,['Semester 1']
BIOL40010,Research Project - RMH Part 1,['Semester 1']
BIOL40013,Research Project - RMH Part 2,['Semester 1']
BIOL90001,Microscopy for Biological Sciences,['Semester 1']
BIOM20001,Molecular and Cellular Biomedicine,['Semester 1']
BIOM30002,Biomedicine: Molecule to Malady,['Semester 1']
BIOM30003,Biomedical Science Research Project,"['Summer Term', 'Semester 1', 'Semester 2']"
BIOM90012,Project in Biomedical Science,"['Semester 1', 'Semester 2']"
BIOM90013,Project in Biomedical Science,"['Semester 1', 'Semester 2']"
BIOM90014,Project in Biomedical Science,"['Semester 1', 'Semester 2']"
BIOM90015,Project in Biomedical Science,"['Semester 1', 'Semester 2']"
BISY90009,Managing Information Technology,"['Semester 1', 'Semester 2']"
BLAW10001,Principles of Business Law,"['Semester 1', 'Semester 2']"
BLAW20001,Corporate Law,['Semester 1']
BLAW30003,Taxation Law II,['Semester 1']
BMEN20001,Biomechanical Physics & Computation,['Semester 1']
BMEN30005,Introduction to Biomechanics,['Semester 1']
BMEN30006,Circuits and Systems,['Semester 1']
BMEN90012,Soft Matter Engineering,['Semester 1']
BMEN90018,Biomedical Engineering Capstone Project,"['Semester 1', 'Year Long', 'Semester 2']"
BMEN90019,Biomedical Engineering Management,['Semester 1']
BMEN90021,Medical Imaging,['Semester 1']
BMEN90026,Clinical Trials and Regulations,['Semester 1']
BMEN90029,Soft Tissue and Cellular Biomechanics,['Semester 1']
BMEN90032,Biomed Eng Capstone Proj Part 2,['Semester 1']
BMEN90033,Bioinstrumentation,['Semester 1']
BMSC40003,Medical Biology Research Project Part 1,['Semester 1']
BMSC90012,Fundamentals in Eye Banking,['Semester 1']
BOTA20001,Green Planet: Plants and the Environment,['Semester 1']
BOTA40001,Botany Research Project,"['Semester 1', 'Semester 2']"
BOTA40006,Botany Research Project,"['Semester 1', 'Semester 2']"
BOTA40007,Botany Research Project,"['Semester 1', 'Semester 2']"
BOTA90014,Botany Research Project Minor,"['Semester 1', 'Semester 2']"
BTCH30001,Methods in Agrifood Biotechnology,['Semester 1']
BTCH30002,Trends & Issues in Agrifood Biotech,['Semester 1']
BTCH30003,Biotechnology in Practice,['Semester 1']
BTCH90009,Genomics and Bioinformatics,['Semester 1']
BTCH90010,Genetically Modified Organisms,['Semester 1']
BUSA30000,Business Judgement,"['Semester 1', 'Semester 2']"
BUSA90518,Business & Economics Internship,"['January', 'Semester 1', 'July', 'Semester 2']"
BUSA90520,Business Data Management,['Semester 1']
CCDP10002,The Electronic Arts: Vision and Sound,"['Semester 1', 'Semester 2']"
CCDP10003,Video Games: Remaking Reality,"['Semester 1', 'Semester 2']"
CCDP20001,Street Art,"['Semester 1', 'Semester 2']"
CCDP40001,Research Methods (Social Practice),['Semester 1']
CCDP90011,Project A,['Semester 1']
CEDB20003,Fundamentals of Cell Biology,['Semester 1']
CEDB30002,Concepts in Cell & Developmental Biology,['Semester 1']
CHEM10003,Chemistry 1,"['Semester 1', 'Semester 2']"
CHEM10006,Chemistry for Biomedicine,['Semester 1']
CHEM10007,Fundamentals of Chemistry,['Semester 1']
CHEM10008,Foundation Studies in Chemistry,['Semester 1']
CHEM10009,Chemistry for BioSciences,['Semester 1']
CHEM20011,Environmental Chemistry,['Semester 1']
CHEM20018,Chemistry: Reactions and Synthesis,['Semester 1']
CHEM20026,Principles of Chemical Biology,['Semester 1']
CHEM30015,Advanced Practical Chemistry,['Semester 1']
CHEM30016,Reactivity and Mechanism,['Semester 1']
CHEM30017,Specialised Topics in Chemistry A,['Semester 1']
CHEM90007,Environmental Chemistry,['Semester 1']
CHEM90055,Chemical Regulations and Safety,['Semester 1']
CHEN20009,Transport Processes,"['Semester 1', 'Semester 2']"
CHEN20010,Material and Energy Balances,"['Semester 1', 'Semester 2']"
CHEN30001,Reactor Engineering,['Semester 1']
CHEN30005,Heat and Mass Transport Processes,"['Semester 1', 'Semester 2']"
CHEN90007,Chemical Engineering Thermodynamics,['Semester 1']
CHEN90012,Process Equipment Design,"['Semester 1', 'Semester 2']"
CHEN90013,Process Engineering,['Semester 1']
CHEN90018,Particle Mechanics and Processing,['Semester 1']
CHEN90019,Advanced Heat & Mass Transport Processes,['Semester 1']
CHEN90020,Chemical Engineering Management,['Semester 1']
CHEN90023,Chemical Engineering Research Project,"['Summer Term', 'Semester 1', 'July']"
CHEN90026,Chemical Engineering Minor Research Proj,"['Summer Term', 'Semester 1', 'Semester 2']"
CHEN90027,Carbon Capture and Storage,['Semester 1']
CHEN90028,Industry Project,"['Summer Term', 'Semester 1', 'July']"
CHEN90030,Chemical Engineering Minor Thesis,"['Summer Term', 'Semester 1', 'Semester 2']"
CHEN90031,Bioprocess Engineering,"['Summer Term', 'Semester 1']"
CHEN90034,Research Methods,['Semester 1']
CHIN10001,Chinese 9,['Semester 1']
CHIN10003,Chinese 7,['Semester 1']
CHIN10005,Chinese 1,['Semester 1']
CHIN10015,Chinese 3,['Semester 1']
CHIN10017,Chinese 5,['Semester 1']
CHIN10019,Contemporary Chinese Literature,['Semester 1']
CHIN20001,Chinese 3,['Semester 1']
CHIN20003,Chinese 5,['Semester 1']
CHIN20005,Modern Chinese Literature,['Semester 1']
CHIN20006,Great Chinese Classics,['Semester 1']
CHIN20007,Chinese Studies: Culture and Empire,['Semester 1']
CHIN20009,Chinese Economic Documents,['Semester 1']
CHIN20010,Chinese in Context 1,['Semester 1']
CHIN20012,Chinese 9,['Semester 1']
CHIN20022,Advanced Seminar in Chinese,['Semester 1']
CHIN20027,Chinese 7,['Semester 1']
CHIN20029,Understanding the New Media in China,['Semester 1']
CHIN30002,Taiwan & Beyond: Chinese Settler Culture,['Semester 1']
CHIN30007,Advanced Seminar in Chinese,['Semester 1']
CHIN30008,Chinese 5,['Semester 1']
CHIN30010,Modern Chinese Literature,['Semester 1']
CHIN30011,Great Chinese Classics,['Semester 1']
CHIN30012,Chinese Economic Documents,['Semester 1']
CHIN30024,Understanding the New Media in China,['Semester 1']
CHIN40006,Chinese Thesis Part 1,"['Semester 1', 'Semester 2']"
CHIN40007,Chinese Thesis Part 2,"['Semester 1', 'Semester 2']"
CHIN90001,Honours Chinese A,['Semester 1']
CHIN90003,Topics in Chinese Studies,['Semester 1']
CHIN90005,Graduate Chinese A,['Semester 1']
CLAS10004,Ancient Greek 1,"['Semester 1', 'Winter Term']"
CLAS10006,Latin 1,"['Summer Term', 'Semester 1']"
CLAS10012,Latin 3,['Semester 1']
CLAS10020,Ancient Greek 3,['Semester 1']
CLAS20013,Ancient Greek 5,['Semester 1']
CLAS20015,Ancient Greek 3,['Semester 1']
CLAS20029,Latin 3,['Semester 1']
CLAS20030,Latin 5,['Semester 1']
CLAS30013,Latin 5,['Semester 1']
CLAS30024,Ancient Greek 5,['Semester 1']
CLAS40034,Classics Honours Seminar 1,['Semester 1']
CLAS40036,Classics Thesis Part 1,"['Semester 1', 'Semester 2']"
CLAS40037,Classics Thesis Part 2,"['Semester 1', 'Semester 2']"
CLRS90004,Clinical Research Thesis,"['Semester 1', 'Year Long', 'Semester 2']"
COMP10001,Foundations of Computing,"['Semester 1', 'Semester 2']"
COMP10002,Foundations of Algorithms,"['Semester 1', 'Semester 2']"
COMP10003,Media Computation,['Semester 1']
